query,network_distribution,runtime
q46-v1.4,F,26.555552033999998
q46-v1.4,F,25.726261629999996
q46-v1.4,F,29.359267142
q46-v1.4,F,26.121010442
q46-v1.4,F,26.071927730999995
q46-v1.4,G,33.66603256
q46-v1.4,G,28.617578332999997
q46-v1.4,G,29.323728229
q46-v1.4,G,28.396006211000003
q46-v1.4,G,31.054990477
q46-v1.4,G,33.504629355000006
q46-v1.4,G,29.651205731
q46-v1.4,G,26.196103997
q46-v1.4,G,28.531700911999998
q46-v1.4,G,27.503862925999996
q46-v1.4,G,29.553467167999994
q46-v1.4,G,28.809240148
q46-v1.4,G,28.733635043
q46-v1.4,G,29.169199005
q46-v1.4,G,29.300420519
q46-v1.4,G,28.503687704
q46-v1.4,G,29.447970068
q46-v1.4,G,29.191149717
q46-v1.4,G,29.342543194
q46-v1.4,G,30.501179731
q46-v1.4,G,28.636524580999996
q46-v1.4,G,38.55408347200001
q46-v1.4,G,31.142221282999998
q46-v1.4,G,28.612300927999996
q46-v1.4,G,32.658425759
q46-v1.4,G,28.163455246
q46-v1.4,G,28.984343219
q46-v1.4,G,27.653339074999998
q46-v1.4,G,28.940332178000002
q46-v1.4,G,29.629297150000006
q46-v1.4,G,29.219929912999998
q46-v1.4,G,28.035559032000002
q46-v1.4,G,32.20644588099999
q46-v1.4,G,28.975137466
q46-v1.4,G,30.460718409
q46-v1.4,G,30.762062189999998
q46-v1.4,G,30.91414473
q46-v1.4,G,27.716866357000004
q46-v1.4,G,27.648069426000003
q46-v1.4,G,28.549453211999996
q46-v1.4,G,28.728315789999996
q46-v1.4,G,28.987303173000004
q46-v1.4,G,30.756424717999998
q46-v1.4,G,29.855076608999997
q46-v1.4,G,27.512324043000003
q46-v1.4,G,30.706995705
q46-v1.4,G,31.989186496
q46-v1.4,G,27.191645487000002
q46-v1.4,G,26.629377326
q46-v1.4,G,33.503520814999995
q46-v1.4,H,35.969451326999994
q46-v1.4,H,38.48474463200001
q46-v1.4,H,29.193860848
q46-v1.4,H,37.447304934
q46-v1.4,H,45.059067612999996
q46-v1.4,H,34.063812287
q46-v1.4,H,40.25072652600001
q46-v1.4,H,39.051503059
q46-v1.4,H,32.162884743999996
q46-v1.4,H,32.481391826999996
q46-v1.4,H,29.622753084000003
q46-v1.4,H,33.710344084
q46-v1.4,H,37.170533846
q46-v1.4,H,34.05707393400001
q46-v1.4,H,29.858245598
q46-v1.4,H,39.139639945999996
q46-v1.4,H,39.095686828
q46-v1.4,H,39.405317479
q46-v1.4,H,34.768173394
q46-v1.4,H,36.158297956
q46-v1.4,H,44.187162021999995
q46-v1.4,H,29.913621082
q46-v1.4,H,33.638521912
q46-v1.4,H,31.213765232
q46-v1.4,H,38.313520162
q46-v1.4,H,30.034700084
q46-v1.4,H,36.281940602000006
q46-v1.4,H,32.234047268000005
q46-v1.4,H,34.55390791800001
q46-v1.4,H,40.34058451100001
q46-v1.4,H,31.801527776
q46-v1.4,H,30.841618008
q46-v1.4,H,58.40735507499999
q46-v1.4,H,35.715062364000005
q46-v1.4,H,32.92343244400001
q46-v1.4,H,35.342466299
q46-v1.4,H,35.70463193799999
q46-v1.4,H,29.328484011
q46-v1.4,H,39.793681105000005
q46-v1.4,H,38.94758084399999
q46-v1.4,H,43.246022066
q46-v1.4,H,42.779070896000015
q46-v1.4,H,35.92055233200001
q46-v1.4,H,33.771868002
q46-v1.4,H,30.361323195999997
q46-v1.4,H,33.364749701
q46-v1.4,H,33.509749275999994
q46-v1.4,H,31.903545911000002
q46-v1.4,H,78.436727633
q46-v1.4,H,32.311616983
q3-v1.4,A,55.760994694999994
